"drange","dlat","dlon_neg","dlon","D_to_Driftmier","D_to_Adrift_F35","D_to_Earl_Ross_Home","D_to_Ross_Cabin","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"5","47.7465166666667","-122.810558333333","122.810558333333","47.1344042949469","47.1098789825803","12.3202297734125","0.475485659100129","0.475485659100129","13","17900","","Tabook Point Light 18 ","FD","47-44-47.460N","122-48-38.010W","Fl R 6s","Night","15","5","","TR on pile.","",""
"5","47.5944366666667","-122.480429722222","122.480429722222","46.7818259135185","46.7569061635571","12.1269417927748","0.477834596327788","0.477834596327788","13","16830","","Blakely Rock Light","FD","47-35-39.972N","122-28-49.547W","Fl W 4s","Night","16","5","","NB on basket on rock","",""
"5","47.7506683333333","-122.755268333333","122.755268333333","47.0808545792675","47.056394386487","12.3166638619667","0.485333692832278","0.485333692832278","13","17820","","Hood Canal Light 10 ","FD","47-45-02.406N","122-45-18.966W","Fl R 4s","Night","16","5","","TR on pile.","",""
"5","47.7219369444444","-122.556227222222","122.556227222222","46.8799469313013","46.8555288088506","12.262529443099","0.528458642768704","0.528458642768704","13","17930","","Agate Passage Light 2 ","FD","47-43-18.973N","122-33-22.418W","Fl R 4s","Night","20","5","","TR on multi-pile structure.","Light is obscured from 041?? to 204??.",""
"5","47.6614141666667","-122.464514722222","122.464514722222","46.778572703277","46.753964024624","12.191641303852","0.536217911822232","0.536217911822232","13","16815","","Puget Sound Traffic Separation Lane Lighted Buoy SG","FD","47-39-41.091N","122-27-52.253W","Fl Y 2.5s","Night","","5","","Yellow.","","N ( - . )"
"5","47.8134980555556","-122.7142875","122.7142875","47.0523526044066","47.0282047187462","12.3734028276459","0.554730024361627","0.554730024361627","13","17800","","Hood Canal Light 8 ","FD","47-48-48.593N","122-42-51.435W","Fl R 4s","Night","15","5","","TR on pile.","",""
"5","47.6772205555556","-122.4120275","122.4120275","46.7299396898345","46.7054459767138","12.2014703737022","0.584384460520253","0.584384460520253","13","16790","18140","Shilshole Bay Breakwater Light 3","FD","47-40-37.994N","122-24-43.299W","Fl G 4s","Night","29","5","","SG on pile, on jetty.","",""
"5","47.6876752777778","-122.404915833333","122.404915833333","46.7249005006352","46.7004593607609","12.2110838661114","0.596766567168518","0.596766567168518","13","16770","","Shilshole Bay Boat Basin Light 2","FD","47-41-15.631N","122-24-17.697W","Fl R 2.5s","Night","28","5","","TR on pile, on jetty.","",""
"5","47.8586333333333","-122.641716666667","122.641716666667","46.9895863585093","46.9657002179858","12.4087539756901","0.617359254865612","0.617359254865612","13","17770","","Sisters Rock Light 4 ","FD","47-51-31.080N","122-38-30.180W","Fl R 4s","Night","15","5","","TR on wooden crib.","",""
"5","47.7650969444444","-122.437632777778","122.437632777778","46.7715308914601","46.7474058746484","12.2916369008952","0.632171510127543","0.632171510127543","13","16745","","Puget Sound Traffic Separation Lane Lighted Buoy SF","FD","47-45-54.349N","122-26-15.478W","Fl Y 2.5s","Night","","5","","Yellow.","","G ( - - . )"
"5","47.8874566666667","-122.611435","122.611435","46.9653114942005","46.9415789851614","12.4335618874787","0.654437257658903","0.654437257658903","13","17730","","Point Hannon Light 2 ","FD","47-53-14.844N","122-36-41.166W","Fl R 2.5s","Night","15","5","","TR on skeleton tower.","",""
"5","47.6475758333333","-122.276026944444","122.276026944444","46.5907978388075","46.5662882827969","12.1577890739484","0.671744489684577","0.671744489684577","13","18270","","Webster Point Light 21 ","FD","47-38-51.273N","122-16-33.697W","Fl G 4s","Night","19","5","","SG on pile.","Light obscured from 121?? to 199??.",""
"5","47.9324944444444","-122.657633888889","122.657633888889","47.0192301013506","46.9956566867724","12.4840367088389","0.683731422223167","0.683731422223167","13","17720","","Tala Point Junction Light","FD","47-55-56.980N","122-39-27.482W","Fl (2+1)R 6s","Night","15","5","","JR on pile.","",""
"5","47.9320688888889","-122.621614444444","122.621614444444","46.9837895389799","46.9602455205392","12.4790918741399","0.693420836436837","0.693420836436837","13","17725","","Foulweather Bluff Light 1 ","FD","47-55-55.448N","122-37-17.812W","Fl G 4s","Night","21","5","","SG on multi-pile structure.","Obscured from 202?? to 328.5??. ::Ra ref.",""
"5","47.9624733333333","-122.671983333333","122.671983333333","47.0390348719752","47.0155814250236","12.5155993523573","0.709365402573467","0.709365402573467","13","17656","","Klas Rock Light","FD","47-57-44.904N","122-40-19.140W","Fl (2)W 5s","Night","15","5","","NR on pole on rock.","",""
