#TYPE System.Xml.XmlElement
"drange","dlat","dlon","D_to_Driftmier","D_to_Adrift_F35","minDist","District","LLNR","XREF","Aid_x0020_Name","Aid_x0020_Type","Position_x0020__x0028_Latitude_x0029_","Position_x0020__x0028_Longitude_x0029_","Characteristic","Both_x002F_Night_x002F_Day","Height","Range","Location","Structure","Remarks","RACN_x0020_Morse_x0020_Char"
"4","38.8425963888889","76.3036011111111","0.236909571877704","0.268807247061592","0.236909571877704","5","26010","","Eastern Bay Lighted Buoy 2A","FD","38-50-33.347N","076-18-12.964W","Fl R 4s","Night","","4","","Red.","Replaced by nun when endangered by ice.",""
"4","39.0068119444444","76.2513516666667","0.249849113532335","0.389822234430291","0.249849113532335","5","26510","","Chester River Lighted Buoy 6","FD","39-00-24.523N","076-15-04.866W","Fl R 4s","Night","","4","","Red.","Replaced by nun from Dec. 1 to Apr. 1.",""
"4","38.9768480555556","76.2461444444444","0.253163637234198","0.376986772353977","0.253163637234198","5","26460","","Kent Island Narrows North Approach Light 13","FD","38-58-36.653N","076-14-46.120W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.9868647222222","76.2461827777778","0.253352677010867","0.382465645421206","0.253352677010867","5","26415","","Kent Island Narrows North Approach Light 2KN","FD","38-59-12.713N","076-14-46.258W","Q R","Night","15","4","","TR on multi-pile structure.","",""
"4","38.9870638888889","76.2457666666667","0.253776933798412","0.382921984928333","0.253776933798412","5","26413","","Kent Island Narrows North Approach Light 1KN","FD","38-59-13.430N","076-14-44.760W","Q G","Night","15","4","","SG on multi-pile structure.","",""
"4","38.8357475","76.28783","0.253818028298328","0.282467765310043","0.253818028298328","5","26015","","Claiborne Channel Light 1CC","FD","38-50-08.691N","076-17-16.188W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.9837980555556","76.2433744444444","0.256048061792405","0.383100422160909","0.256048061792405","5","26420","","Kent Island Narrows North Approach Light 4","FD","38-59-01.673N","076-14-36.148W","Fl R 4s","Night","15","4","","TR on multi-pile structure.","",""
"4","38.9538344444444","76.2435094444444","0.256765458551742","0.367343697084225","0.256765458551742","5","26345","","Kent Island Narrows South Approach Light 1K","FD","38-57-13.804N","076-14-36.634W","Fl G 4s","Night","18","4","","SG on pile.","Higher intensity down channel.::",""
"4","38.9791813888889","76.2419044444444","0.257420903047508","0.381815230495084","0.257420903047508","5","26440","","Kent Island Narrows North Approach Light 8","FD","38-58-45.053N","076-14-30.856W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
"4","38.9804805555556","76.2414638888889","0.257880183786085","0.382888693635616","0.257880183786085","5","26435","","Kent Island Narrows North Approach Light 6","FD","38-58-49.730N","076-14-29.270W","Q R","Night","15","4","","TR on multi-pile structure.","",""
"4","38.9601116666667","76.2413986111111","0.258403985533071","0.372298262170172","0.258403985533071","5","26365","","Kent Island Narrows South Approach Channel Light 3","FD","38-57-36.402N","076-14-29.035W","Fl G 2.5s","Night","15","4","","SG on pile.","",""
"4","38.9805030555556","76.2409277777778","0.258416599678686","0.383351510272728","0.258416599678686","5","26430","","Kent Island Narrows North Approach Light 5","FD","38-58-49.811N","076-14-27.340W","Q G","Night","15","4","","SG on multi-pile structure.","",""
"4","38.8764205555556","76.2513786111111","0.267219147137528","0.328568454225996","0.267219147137528","5","26050","","Eastern Bay Lighted Buoy 4","FD","38-52-35.114N","076-15-04.963W","Fl R 4s","Night","","4","","Red.","Replaced by nun when endangered by ice.",""
"4","38.7715308333333","76.2913319444444","0.291728368272104","0.271898717589699","0.271898717589699","5","25915","","Harris Creek Junction Light HC","FD","38-46-17.511N","076-17-28.795W","Fl (2+1)G 6s","Night","15","4","","JG on multi-pile structure.","",""
"4","38.9011144444444","76.2333394444444","0.276338151515613","0.353912382978169","0.276338151515613","5","26335","","Prospect Bay Lighted Buoy 1P","FD","38-54-04.012N","076-14-00.022W","Fl G 4s","Night","","4","","Green.","Replaced by can when endangered by ice.",""
"4","38.9930463888889","76.21247","0.287336690290597","0.414097108245341","0.287336690290597","5","26520","","Chester River Channel Lighted Buoy 9","FD","38-59-34.967N","076-12-44.892W","Fl G 4s","Night","","4","","Green.","Replaced by can from Dec. 1 to Apr. 1.",""
"4","38.8301161111111","76.2196705555556","0.315452330286017","0.348281365422636","0.315452330286017","5","26085","","Eastern Bay Lighted Buoy 11","FD","38-49-48.418N","076-13-10.814W","Fl G 4s","Night","","4","","Green can.","Replaced by can when endangered by ice.",""
"4","38.7404708333333","76.2454672222222","0.346351710111227","0.319414547317556","0.319414547317556","5","25670","","Broad Creek Light 4","FD","38-44-25.695N","076-14-43.682W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","39.0151847222222","76.1819311111111","0.31977248954162","0.451738963731488","0.31977248954162","5","26630","","Chester River Channel Lighted Buoy 12","FD","39-00-54.665N","076-10-54.952W","Fl R 4s","Night","","4","","Red.","Replaced by nun from Dec. 1 to Apr. 1.",""
"4","38.8469113888889","76.2007761111111","0.325288265917151","0.369921771931499","0.325288265917151","5","26120","","Wye River Entrance Light 4","FD","38-50-48.881N","076-12-02.794W","Fl R 2.5s","Night","15","4","","TR on pile.","",""
"4","38.8027913888889","76.2086755555556","0.338386294324853","0.355805723358518","0.338386294324853","5","26165","","Miles River Light 1","FD","38-48-10.049N","076-12-31.232W","Fl G 4s","Night","15","4","","SG on pile.","",""
"4","38.7892463888889","76.2164827777778","0.338979058914626","0.34712733793455","0.338979058914626","5","26185","","St. Michaels Harbor Entrance Light 2SM","FD","38-47-21.287N","076-12-59.338W","Fl R 4s","Night","15","4","","TR on pile.","",""
"4","38.7324786111111","76.139995","0.434120251168229","0.425161865251765","0.425161865251765","5","25470","","Tred Avon River Light 13","FD","38-43-56.923N","076-08-23.982W","Fl G 4s","Night","15","4","","SG on pile.","",""
"3","38.7708208333333","76.5613980555556","0.21447172302668","0.00280078307061376","0.00280078307061376","5","19415","","Rockhold Creek Channel Light 13","FD","38-46-14.955N","076-33-41.033W","Q G","Night","15","3","","SG on pile.","",""
"3","38.9676697222222","76.4727161111111","0.0278976684286741","0.214734968762222","0.0278976684286741","5","19890","","Eastport Harbor Jetty Light 3","FD","38-58-03.611N","076-28-21.778W","Q G","Night","15","3","","SG on pile.","",""
"3","38.7405194444444","76.54414","0.239816524446824","0.0376236053263514","0.0376236053263514","5","19325","","Herring Bay Light 2","FD","38-44-25.870N","076-32-38.904W","Fl R 4s","Night","15","3","","TR on pile.","",""
"3","38.7338183333333","76.5385983333333","0.245454866418568","0.0462302121477139","0.0462302121477139","5","19335","","Rose Haven Channel Light 1","FD","38-44-01.746N","076-32-18.954W","Q G","Night","15","3","","SG on multi-pile structure.","",""
"3","38.9309238888889","76.5169933333333","0.0485222658547562","0.164608107790424","0.0485222658547562","5","19615","","South River Light 10","FD","38-55-51.326N","076-31-01.176W","Fl R 2.5s","Night","15","3","","TR on pile.","",""
"3","38.9928","76.44705","0.0548581526575557","0.248665710328142","0.0548581526575557","5","20030","","Severn River - Mill Creek Light 2M","FD","38-59-34.080N","076-26-49.380W","Fl R 2.5s","Night","15","3","","TR on pile.","",""
"3","38.9186658333333","76.4684269444444","0.0652164116038006","0.173846156514015","0.0652164116038006","5","19685","","Fishing Creek Light 6","FD","38-55-07.197N","076-28-06.337W","Fl R 2.5s","Night","15","3","","TR on pile.","",""
"3","38.9101775","76.4604886111111","0.0765094644222508","0.171431499473497","0.0765094644222508","5","19675","","Fishing Creek Light 3","FD","38-54-36.639N","076-27-37.759W","Q G","Night","15","3","","SG on pile.","",""
"3","38.8443697222222","76.5344369444444","0.136341801471611","0.0770116017282307","0.0770116017282307","5","19510","","West River Light 6","FD","38-50-39.731N","076-32-03.973W","Fl R 4s","Night","15","3","","TR on pile.","",""
"3","38.87734","76.5224811111111","0.101450269835963","0.112067702150739","0.101450269835963","5","19527","","Rhode River Lighted Wreck Buoy WR5","FD","38-52-38.424N","076-31-20.932W","Q G","Night","","3","","Green.","Replaced by can from Nov. 15 to Mar. 15.",""
"3","38.7656766666667","76.3323466666667","0.26862073441048","0.23099461766144","0.23099461766144","5","25995","","Lowes Wharf Channel Light 2","FD","38-45-56.436N","076-19-56.448W","Fl R 4s","Night","15","3","30 feet outside channel limit.","TR on pile.","",""
"3","38.9842958333333","76.2426213888889","0.256816166870737","0.384003125951626","0.256816166870737","5","26417","","Kent Island Narrows North Approach Lighted Buoy 3","FD","38-59-03.465N","076-14-33.437W","Fl G 4s","Night","","3","","Green.","Maintained from Mar. 15 to Dec. 1.",""
"3","38.73117","76.304615","0.312889115675192","0.26196386492797","0.26196386492797","5","25880","","Harris Creek Light 5","FD","38-43-52.212N","076-18-16.614W","Fl G 4s","Night","15","3","","SG on pile.","",""
"3","38.7949547222222","76.2068494444444","0.34401734236978","0.357056749051722","0.34401734236978","5","26175","","Miles River Light 4","FD","38-47-41.837N","076-12-24.658W","Fl R 2.5s","Night","15","3","","TR on pile.","",""
"3","38.7505144444444","76.1189966666667","0.442185935945862","0.444796115430031","0.442185935945862","5","25485","","Tred Avon River Light 18","FD","38-45-01.852N","076-07-08.388W","Fl R 4s","Night","15","3","","TR on pile.","",""
"3","38.7385294444444","76.12025","0.44735643429917","0.44431165470744","0.44431165470744","5","25480","","Tred Avon River Light 16","FD","38-44-18.706N","076-07-12.900W","Fl R 4s","Night","15","3","","TR on pile.","",""
"0","38.9776119444444","76.4802380555556","0.0191281596374867","0.220855045355308","0.0191281596374867","5","19785","","U.S. Naval Academy Light","FD","38-58-39.403N","076-28-48.857W","Q W","Night","10","","","Black iron structure on stone foundation","Red from 220?? to 259.2??.::White from 259.2?? to 273.2??.",""
"0","38.9605847222222","76.4730427777778","0.0305087122295341","0.208189781547493","0.0305087122295341","5","19870","","Chesapeake Harbor Jetty Light 8","PA","38-57-38.105N","076-28-22.954W","Fl R 4s","Night","14","","","On pile.","Private Aid",""
"0","38.9601402777778","76.4722927777778","0.0313805091615406","0.208115900339515","0.0313805091615406","5","19875","","Chesapeake Harbor Jetty Light 9","PA","38-57-36.505N","076-28-20.254W","Fl G 4s","Night","14","","","On pile.","Private Aid",""
"0","38.9601125","76.4663480555556","0.0366353386655849","0.210756556118474","0.0366353386655849","5","19840","","Chesapeake Harbor Entrance Light 2","PA","38-57-36.405N","076-27-58.853W","Fl R 4s","Night","14","","","TR on pile.","Private Aid",""
"0","38.7319833333333","76.5400222222222","0.247496630675486","0.047075196089101","0.047075196089101","5","19360","","South Herrington Harbor Light 2","PA","38-43-55.140N","076-32-24.080W","Q R","Night","10","","","TR on pile.","Private Aid",""
"0","38.7317388888889","76.5396972222222","0.247684542344481","0.0474483593763387","0.0474483593763387","5","19355","","South Herrington Harbor Entrance Light 1","PA","38-43-54.260N","076-32-22.910W","Q G","Night","10","","","SG on pile.","Private Aid",""
"0","38.7308194444445","76.5405416666667","0.248730322280259","0.0478428054672244","0.0478428054672244","5","19370","","South Herrington Harbor Light 4","PA","38-43-50.950N","076-32-25.950W","Q R","Night","10","","","TR on pile.","Private Aid",""
"0","38.7306861111111","76.5402","0.248805427984984","0.0481227895574442","0.0481227895574442","5","19365","","South Herrington Harbor Light 3","PA","38-43-50.470N","076-32-24.720W","Q G","Night","10","","","SG on pile.","Private Aid",""
"0","38.7295666666667","76.5411694444444","0.250070176743734","0.0486616409388709","0.0486616409388709","5","19380","","South Herrington Harbor Light 6","PA","38-43-46.440N","076-32-28.210W","Q R","Night","10","","","TR on pile.","Private Aid",""
"0","38.7294694444444","76.5409111111111","0.250122928073132","0.0488657547105499","0.0488657547105499","5","19375","","South Herrington Harbor Light 5","PA","38-43-46.090N","076-32-27.280W","Q G","Night","10","","","SG on pile.","Private Aid",""
"0","38.7244805555556","76.5437333333333","0.255519216285364","0.0522351858209833","0.0522351858209833","5","19345","","South Herrington Harbor Range Front Light","PA","38-43-28.130N","076-32-37.440W","F Y","Night","19","","","Orange daydoards with black and white stripe on pile.","Private Aid",""
